Country_code,Country,Joy factors,Year,Value 2 (+),Value 1 (+),Value 3 (+),Value 5 (+/-),Value 4 (+/-),Value 6 (+/-),index
AT,Austria,Happiness,01,6,0.1122,8223696,-6,-0.1122,8223696,1
AT,Austria,Happiness,02,8,0.0918,64573220,-8,-0.0918,-64573220,1
AT,Austria,Happiness,03,16,0.0918,82882182,-16,0.0918,82882182,1
AT,Austria,Happiness,04,17,0.0969,94046233,17,-0.0969,-94046233,1
AT,Austria,Happiness,05,8,0.0918,3760493,8,0.0918,3760493,1
AT,Austria,Happiness,06,10,0.0969,11411245,-10,-0.0969,11411245,1
AT,Austria,Happiness,07,4,0.0969,15676964,-4,-0.0969,15676964,1
BE,Belgium,Happiness,01,22,0.1122,90069337,-22,-0.1122,-90069337,1
BE,Belgium,Happiness,02,19,0.0918,36621745,19,0.0918,-36621745,1
BE,Belgium,Happiness,03,28,0.0918,11703682,28,-0.0918,-11703682,1
BE,Belgium,Happiness,04,28,0.0969,52743273,-28,-0.0969,52743273,1
BE,Belgium,Happiness,05,23,0.0918,29275231,23,0.0918,29275231,1
BE,Belgium,Happiness,06,29,0.0969,96342143,-29,0.0969,-96342143,1
BE,Belgium,Happiness,07,17,0.0969,52659612,17,-0.0969,52659612,1
BG,Bulgaria,Happiness,01,20,0.1122,29618522,20,-0.1122,-29618522,1
BG,Bulgaria,Happiness,02,24,0.0918,38129021,-24,0.0918,38129021,1
BG,Bulgaria,Happiness,03,39,0.0918,45573480,-39,-0.0918,45573480,1
BG,Bulgaria,Happiness,04,22,0.0969,8888313,22,0.0969,8888313,1
BG,Bulgaria,Happiness,05,29,0.0918,87876023,29,-0.0918,87876023,1
BG,Bulgaria,Happiness,06,49,0.0969,84136617,49,-0.0969,-84136617,1
BG,Bulgaria,Happiness,07,13,0.0969,48651201,13,0.0969,48651201,1
CY,Cyprus,Happiness,01,3,0.1122,110597064,-3,0.1122,-110597064,1
CY,Cyprus,Happiness,02,8,0.0918,83930549,8,0.0918,-83930549,1
CY,Cyprus,Happiness,03,9,0.0918,21827161,9,-0.0918,-21827161,1
CY,Cyprus,Happiness,04,10,0.0969,61826362,10,-0.0969,61826362,1
CY,Cyprus,Happiness,05,11,0.0918,18006151,11,-0.0918,18006151,1
CY,Cyprus,Happiness,06,5,0.0969,54234990,-5,0.0969,-54234990,1
CY,Cyprus,Happiness,07,1,0.0969,58166563,1,-0.0969,58166563,1
CZ,Czechia,Happiness,01,12,0.1122,99514491,-12,0.1122,99514491,1
CZ,Czechia,Happiness,02,25,0.0918,89879689,-25,-0.0918,-89879689,1
CZ,Czechia,Happiness,03,24,0.0918,29768495,24,0.0918,-29768495,1
CZ,Czechia,Happiness,04,33,0.0969,17094423,-33,-0.0969,-17094423,1
CZ,Czechia,Happiness,05,22,0.0918,48762291,-22,-0.0918,48762291,1
CZ,Czechia,Happiness,06,37,0.0969,31424587,-37,-0.0969,-31424587,1
CZ,Czechia,Happiness,07,5,0.0969,66188589,5,-0.0969,66188589,1
DE,Germany,Happiness,01,53,0.1122,109598285,53,0.1122,-109598285,1
DE,Germany,Happiness,02,78,0.0918,40780822,-78,0.0918,-40780822,1
DE,Germany,Happiness,03,40,0.0918,39411086,40,0.0918,39411086,1
DE,Germany,Happiness,04,20,0.0969,1870248,20,-0.0969,-1870248,1
DE,Germany,Happiness,05,34,0.0918,58839441,34,0.0918,-58839441,1
DE,Germany,Happiness,06,37,0.0969,89318765,-37,-0.0969,89318765,1
DE,Germany,Happiness,07,30,0.0969,94744656,30,-0.0969,-94744656,1
DK,Denmark,Happiness,01,38,0.1122,79292985,38,0.1122,79292985,1
DK,Denmark,Happiness,02,23,0.0918,7925581,23,-0.0918,7925581,1
DK,Denmark,Happiness,03,24,0.0918,8573022,24,0.0918,-8573022,1
DK,Denmark,Happiness,04,32,0.0969,29278971,32,0.0969,29278971,1
DK,Denmark,Happiness,05,27,0.0918,72739705,-27,-0.0918,72739705,1
DK,Denmark,Happiness,06,24,0.0969,5827585,-24,-0.0969,5827585,1
DK,Denmark,Happiness,07,34,0.0969,71142099,34,-0.0969,71142099,1
EE,Estonia,Happiness,01,31,0.1122,18204370,-31,-0.1122,18204370,1
EE,Estonia,Happiness,02,27,0.0918,49032601,-27,-0.0918,-49032601,1
EE,Estonia,Happiness,03,25,0.0918,46840614,-25,-0.0918,46840614,1
EE,Estonia,Happiness,04,21,0.0969,51686320,-21,-0.0969,-51686320,1
EE,Estonia,Happiness,05,21,0.0918,25710269,21,0.0918,25710269,1
EE,Estonia,Happiness,06,28,0.0969,71440987,-28,0.0969,71440987,1
EE,Estonia,Happiness,07,16,0.0969,29981461,-16,0.0969,-29981461,1
EL,Greece,Happiness,01,2,0.1122,52425713,2,-0.1122,52425713,1
EL,Greece,Happiness,02,11,0.0918,77999671,11,-0.0918,77999671,1
EL,Greece,Happiness,03,11,0.0918,42007607,11,0.0918,-42007607,1
EL,Greece,Happiness,04,7,0.0969,13438407,7,0.0969,13438407,1
EL,Greece,Happiness,05,7,0.0918,27490389,7,-0.0918,-27490389,1
EL,Greece,Happiness,06,7,0.0969,65865320,-7,0.0969,65865320,1
EL,Greece,Happiness,07,1,0.0969,14950080,1,0.0969,-14950080,1
ES,Spain,Happiness,01,16,0.1122,104438895,-16,0.1122,-104438895,1
