Year,Result,Result_Num,Round,Round2,Sets,Opponent,Won,Lost,Bagel,Final,Count,Novak,Roger,Tournament,Player,Level,3SetWin,Straightwin,Order_GS,Order_all,Total_GS,Top
2005,Won,1,R128,First round,3,Lars Burgsmuller,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2005,Won,1,R64,Second round,3,Xavier Malisse,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2005,Won,1,R32,Third round,3,Richard Gasquet,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2005,Won,1,R16,Fourth round,4,Sebastien Grosjean,1,0,1,0,1,0,0,Roland Garros,Nadal,Roland Garros,0,0,1,1,,
2005,Won,1,QF,Quarter-final,3,David Ferrer,1,0,1,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2005,Won,1,SF,Semi-final,4,Roger Federer,1,0,0,0,1,0,1,Roland Garros,Nadal,Roland Garros,0,0,1,1,,
2005,Won,1,F,Final,4,Mariano Puerta,1,0,0,1,1,0,0,Roland Garros,Nadal,Roland Garros,0,0,1,1,,
2006,Won,1,F,Final,4,Roger Federer,1,0,0,1,1,0,1,Roland Garros,Nadal,Roland Garros,0,0,1,1,,
2006,Won,1,SF,Semi-final,3,Ivan Ljubicic,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2006,Won,1,QF,Quarter-final,2,Novak Djokovic,1,0,0,0,1,1,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2006,Won,1,R16,Fourth round,4,Lleyton Hewitt,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,0,0,1,1,,
2006,Won,1,R32,Third round,4,Paul Henri Mathieu,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,0,0,1,1,,
2006,Won,1,R64,Second round,3,Kevin Kim,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2006,Won,1,R128,First round,3,Robin Soderling,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2007,Won,1,F,Final,4,Roger Federer,1,0,0,1,1,0,1,Roland Garros,Nadal,Roland Garros,0,0,1,1,,
2007,Won,1,SF,Semi-final,3,Novak Djokovic,1,0,0,0,1,1,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2007,Won,1,QF,Quarter-final,3,Carlos Moya,1,0,1,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2007,Won,1,R16,Fourth round,3,Lleyton Hewitt,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2007,Won,1,R32,Third round,3,Albert Montanes,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2007,Won,1,R64,Second round,3,Flavio Cipolla,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2007,Won,1,R128,First round,3,Juan Martin Del Potro,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2008,Won,1,F,Final,3,Roger Federer,1,0,1,1,1,0,1,Roland Garros,Nadal,Roland Garros,1,1,1,1,,
2008,Won,1,SF,Semi-final,3,Novak Djokovic,1,0,0,0,1,1,0,Roland Garros,Nadal,Roland Garros,1,1,1,1,,
2008,Won,1,QF,Quarter-final,3,Nicolas Almagro,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,1,1,1,,
2008,Won,1,R16,Fourth round,3,Fernando Verdasco,1,0,1,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,1,1,1,,
2008,Won,1,R32,Third round,3,Jarkko Nieminen,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,1,1,1,,
2008,Won,1,R64,Second round,3,Nicolas Devilder,1,0,1,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,1,1,1,,
2008,Won,1,R128,First round,3,Thomaz Bellucci,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,1,1,1,,
2009,Won,1,R32,Third round,3,Lleyton Hewitt,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2009,Won,1,R64,Second round,3,Teymuraz Gabashvili,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2009,Won,1,R128,First round,3,Marcos Daniel,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,0,1,1,,
2010,Won,1,F,Final,3,Robin Soderling,1,0,0,1,1,0,0,Roland Garros,Nadal,Roland Garros,1,1,1,1,,
2010,Won,1,SF,Semi-final,3,Jurgen Melzer,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,1,1,1,,
2010,Won,1,QF,Quarter-final,3,Nicolas Almagro,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,1,1,1,,
2010,Won,1,R16,Fourth round,3,Thomaz Bellucci,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,1,1,1,,
2010,Won,1,R32,Third round,3,Lleyton Hewitt,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,1,1,1,,
2010,Won,1,R64,Second round,3,Horacio Zeballos,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,1,1,1,,
2010,Won,1,R128,First round,3,Gianni Mina,1,0,0,0,1,0,0,Roland Garros,Nadal,Roland Garros,1,1,1,1,,
